STATIONS_ID, MESS_DATUM,date, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
1766,20000101,1/1/00,10,4.1,8.2,7.3,1016.9,98,2.6,6.8,2.5,1.8,7.3,2.3,6,0,0,eor
1766,20000102,1/2/00,10,6.4,8.9,7.7,1020.7,94,3.2,7.5,2.8,1.1,7,0,6,0.5,0,eor
1766,20000103,1/3/00,10,7.3,8.9,7.3,1014.1,85,5.4,8.9,6.3,6.3,11.5,9.9,6,0,0,eor
1766,20000104,1/4/00,10,7.2,9.1,7.3,1007.7,91,4.4,8.7,6.1,5.8,17.9,9.8,6,0,0,eor
1766,20000105,1/5/00,10,4,6.7,3.3,1013.3,82,3.8,7.9,1.9,0.8,12.4,0,0,5.5,0,eor
1766,20000106,1/6/00,10,6.8,8,7,1009.5,82,3.5,10.1,2.4,0,9.3,2.5,6,2.7,0,eor
1766,20000107,1/7/00,10,5.8,8,5.7,1014.1,83,3.8,7.6,4.2,4.9,9.8,0,0,0.5,0,eor
1766,20000108,1/8/00,10,6.3,8,6,1011.4,84,4.4,7,4.7,2.6,9.7,0.4,6,0,0,eor
1766,20000109,1/9/00,10,0.9,6.4,6.7,1019,98,1.1,6.3,-1.2,-2.5,3.5,0,6,0,0,eor
1766,20000110,1/10/00,10,1,6.4,7.7,1029.5,98,1.5,2,-0.7,-0.4,5.5,0,6,0,0,eor
1766,20000111,1/11/00,10,0.3,5.8,3.7,1029.5,89,2.6,3.4,-1.1,-0.2,6.7,0,0,3.7,0,eor
1766,20000112,1/12/00,10,0.6,5.2,5,1021.6,83,2.7,4,-3.2,-5.9,8.4,0,0,5.4,0,eor
